id,speaker,start_time,end_time,text,emotion
Ses04F_impro01_F021,F,154.54,158.14,I don't need to be.  I need to go and do other things with my time.  Okay.,ang
Ses04F_impro01_F022,F,158.16,165.13,"Please just put the form in, take the picture, let me get my license and get the hell out of here.  Please.",ang
Ses04F_impro01_M025,M,165.43,168.51,I've walked away already.  I'm not here anymore.,xxx
Ses04F_impro02_M000,M,7.3037,11.59,So you're leaving tomorrow.,sad
Ses04F_impro02_F000,F,11.95,15.56,Yeah.  They just called.,sad
Ses04F_impro02_M001,M,18.23,22.35,This is really-this is unfair.,sad
Ses04F_impro02_F001,F,22.16,24.92,I know.,sad
Ses04F_impro02_M002,M,25.8,29.94,I don't see [BREATHING],fru
Ses04F_impro02_F002,F,31.85,42.08,I don't know what to say.  I don't want to go but I don't have a lot of choice.,sad
Ses04F_impro02_M003,M,41.64,56.12,"I mean we both knew that this was going to happen.  It's just that I feel that, you know, I don't want Susie growing up without a mother.",fru
Ses04F_impro02_M004,M,57.14,65.7929,"And, uh, I'm afraid that if you, you know, when you leave, you won't come back.",sad
Ses04F_impro02_F003,F,67.03,72.51,I'm going to come back.  I need you to believe that.,sad
Ses04F_impro02_M005,M,70.75,72.4035,You don't know that.,fru
Ses04F_impro02_F004,F,73.12,78.66,I need you to believe that too.  How am I supposed to believe everything's going to be okay if you don't?,xxx
Ses04F_impro02_M006,M,76.62,82.39,"I'll believe it, but- I'll believe it but it- I don't know that that's going to happen.",fru
Ses04F_impro02_F005,F,84.48,88.45,Well you have to have faith because I don't have a choice and I have to go.,sad
Ses04F_impro02_M007,M,88.1,90.77,You do have a choice.  You don't have to go.,xxx
Ses04F_impro02_F006,F,91.04,94.17,Do you think I want to leave you?,sad
Ses04F_impro02_M008,M,93.93,96.21,You have a choice.,fru
Ses04F_impro02_F007,F,97.0497,104.34,I have to do this.  I don't want to leave.  Do you think I want to miss seeing her grow up?,sad
Ses04F_impro02_M009,M,105.17,111.7,I know.  It's just you don't have to do this for a living you know.,fru
Ses04F_impro02_M010,M,112.82,116.83,You're a smart person.  There are other things you can do.,fru
Ses04F_impro02_F008,F,117.9363,122.29,Look we both knew what this meant when I signed on,fru
Ses04F_impro02_F009,F,123.06,132.5883,And now- and now it's really shitty timing but now I have to go.,sad
Ses04F_impro02_F010,F,133.3402,140.2,I mean I'm the one who has to leave here.  I'm the one who has to leave the two of you.  At least you get to be together.,fru
Ses04F_impro02_M011,M,140.85,145.35,It's just not going to work out without you here.,xxx
Ses04F_impro02_F011,F,146.81,149.37,What's that supposed to mean?,sad
Ses04F_impro02_M012,M,149.32,156.26,I mean we can't-we're not a complete family without you here.,sad
Ses04F_impro02_F012,F,156.4304,161.4,Well I'll come back.  What is that supposed to mean?  You're not willing to wait for me to come back?,ang
Ses04F_impro02_M013,M,161.0,174.84,Of course I'm going to wait.  I just- I just don't like the idea of this happening because this isn't the last time this is going to happen. You're going to go on more tours and stuff.  I just- I can't-,fru
Ses04F_impro02_M014,M,174.87,177.96,I can't deal with this emotionally.,fru
Ses04F_impro02_F013,F,177.53,179.68,What do you want me to do?,fru
Ses04F_impro02_M015,M,180.21,186.45,I want you to leave.  I want you to leave the service.,fru
Ses04F_impro02_F014,F,187.15,191.75,Well I can't very well do it today.  I still have to leave tomorrow.,fru
Ses04F_impro02_M016,M,190.8,196.18,You can do it today.  You don't have to do anything.  You don't have to do anything you don't want to do.,fru
Ses04F_impro02_F015,F,195.78,201.48,"You're not making this any easier for me, you know.  I'm the one who has to go and you're really not helping.",fru
Ses04F_impro02_M017,M,201.37,204.59,Look I'm just telling you that you don't have to go.,fru
Ses04F_impro02_F016,F,205.09,211.28,I do have to go. And I need to know that you're here waiting for me and that you believe that I'm coming back.,fru
Ses04F_impro02_M018,M,204.62,207.54,That's all I'm saying... No you don't.,ang
Ses04F_impro02_F017,F,216.67,219.37,Thanks that helps.,ang
Ses04F_impro02_M019,M,211.16,216.31,It's just really unfair.  This is- this is bullshit.,fru
Ses04F_impro02_F018,F,219.5,221.87,I feel much better now.,ang
Ses04F_impro02_M020,M,221.47,230.28,"You're acting like, you know, you're the one who's going all through, you know, all this shit and it's really- it's really not.",ang
Ses04F_impro02_F019,F,228.31,233.89,I know I'm leaving you here with all the responsibility but at least you get to be with her.,fru
Ses04F_impro02_M021,M,233.78,240.49,Yeah.  Of course I do because I didn't enlist in this stupid thing.  Why don't you just get out now and then-,ang
Ses04F_impro02_F020,F,240.01,242.99,I will but I can't right now.,fru
Ses04F_impro02_M022,M,242.22,247.49,Yes- You don't have to go.  What are they going to do?  Huh?  Put a gun to your head?,xxx
Ses04F_impro02_F021,F,247.06,254.44,You know- you know how this works.  I have to go.,xxx
Ses04F_impro02_M023,M,257.33,263.68,Then go.  We'll be here when you get back.,fru
Ses04F_impro02_F022,F,263.39,266.033,That's how you want to leave it?,ang
Ses04F_impro02_M024,M,267.35,274.19,"I don't know how else to leave it.  What, do you want me to lie to you?",sad
Ses04F_impro02_M025,M,275.1187,278.9096,You want me tell you that I'm okay with it?,sad
Ses04F_impro02_F023,F,278.62,288.12,I want you to be okay with it as much as you can be.  I mean it's not a great situation but we don't have an option here.,sad
Ses04F_impro02_M026,M,289.87,299.6,Well I can't be okay with it the same way you can't not go.  It just doesn't work that way.,sad
Ses04F_impro02_F024,F,299.14,300.67,Fine.,sad
Ses04F_impro03_F000,F,4.6373,7.54,I have something to tell you.,exc
Ses04F_impro03_M000,M,7.06,9.98,What?  You seem so excited.,neu
Ses04F_impro03_F001,F,9.43,13.62,It's really exciting.  Don't you want to guess?,exc
Ses04F_impro03_M001,M,12.89,19.57,"Uh, you got a new car, a new house. Uh, a dog.",neu
Ses04F_impro03_F002,F,18.53,20.05,Look.,exc
Ses04F_impro03_M002,M,20.01,22.6,Are you serious?  You're getting married.,sur
Ses04F_impro03_F003,F,21.49,25.02,Yes.  He finally proposed.  I'm getting married.,exc
Ses04F_impro03_M003,M,23.75,26.27,Holy shit that's amazing.,exc
Ses04F_impro03_F004,F,25.83,27.6331,I know. I'm so-,exc
Ses04F_impro03_M004,M,26.31,27.99,Congratulations.,exc
Ses04F_impro03_F005,F,27.65,29.283,Thank you. [LAUGHTER],exc
Ses04F_impro03_M005,M,29.03,30.77,"I'm invited, right.",exc
Ses04F_impro03_F006,F,30.57,32.97,You think. [LAUGHTER],exc
Ses04F_impro03_M006,M,32.64,39.97,"I'll have to, uh, I'll have to get myself a new tux.  My, uh, the old one is a little worn and dirty.  That's awesome.  Where are you guys going to have it?",xxx
Ses04F_impro03_F007,F,39.54,50.47,"Well actually we were just talking about today and I don't really want to do like the traditional church thing, you know.  So we are going to get married in the meadow.",exc
Ses04F_impro03_F008,F,50.5,53.28,Do you remember up by Yosemite? Yeah.,xxx
Ses04F_impro03_M007,M,55.37,59.04,"Well, that's- that's- that's beautiful. That's a beautiful place to do it.",xxx
Ses04F_impro03_F009,F,53.3,56.48,We're going to get married in the middle of a meadow. [LAUGHTER],exc
Ses04F_impro03_F010,F,56.48,65.98,"Everybody's going to come up. We're going to stay in all the pretty cabins up there and, um, everybody's going to have, you know, really flowery sort of naturey stuff.",hap
Ses04F_impro03_F011,F,65.98,67.427,So pretty.,exc
Ses04F_impro03_M008,M,65.6,66.86,That's great,xxx
Ses04F_impro03_M009,M,67.22,68.81,I hope- they're not like,xxx
Ses04F_impro03_F012,F,67.9,69.83,Very Midsummer Night's wedding.,hap
Ses04F_impro03_M010,M,69.51,76.36,"Right.  Nice.  That's great.  I hope while we're up there nobody gets attacked by any, like, bears or wolves or anything.",xxx
Ses04F_impro03_F013,F,74.64,79.94,Thanks. Thanks a lot.  You're really helping the Excitement here. I hope no one dies.,exc
Ses04F_impro03_M011,M,76.51,79.57,"Well no, I am- I'm trying to be positive",xxx
Ses04F_impro03_M012,M,79.62,82.43,I'm trying to be positive.  I'm trying to say I hope that doesn't happen.,xxx
Ses04F_impro03_F014,F,82.13,85.73,"Okey Well- well-, you know what?  I was hoping that you would help",exc
Ses04F_impro03_M013,M,82.43,85.96,We're going to be in the middle of the wilderness. These kind of things happen,xxx
Ses04F_impro03_F015,F,85.73,90.89,plan everything.  So then you can make sure that no one gets attacked by bears.,exc
Ses04F_impro03_M014,M,90.6,93.17,Yeah.  I'll help plan.,exc
Ses04F_impro03_F016,F,92.77,94.43,Yeah?,exc
Ses04F_impro03_M015,M,94.06,95.24,Yeah.,xxx
Ses04F_impro03_F017,F,94.83,96.08,Really?,exc
Ses04F_impro03_M016,M,95.63,96.83,Sure.,xxx
Ses04F_impro03_F018,F,96.51,103.33,"Okay.  It's going to be in, like, six months.  So we don't have a really long time.",exc
Ses04F_impro03_M017,M,102.78,109.36,"I'm thinking greens, lots of greens. Greens and browns.  We're nature.",xxx
Ses04F_impro03_F019,F,106.21,107.89,Okay.,xxx
Ses04F_impro03_F020,F,108.19,110.28,No.  No browns.,xxx
Ses04F_impro03_M018,M,109.89,111.35,Why not browns?,neu
Ses04F_impro03_F021,F,110.56,112.18,It's a wedding.,xxx
Ses04F_impro03_M019,M,111.45,114.12,"It's a light brown, tanish.",neu
Ses04F_impro03_F022,F,113.02,115.94,Blue for the sky.,xxx
Ses04F_impro03_F023,F,116.5,118.3,Come on.,xxx
Ses04F_impro03_M020,M,116.7,125.48,I just think browns are really what you want to go with.  I mean I think there's more contrast between brown and green than there is-,neu
Ses04F_impro03_F024,F,123.36,126.15,who- Who's getting married though?,xxx
Ses04F_impro03_M021,M,125.73,128.52,I know but you just asked me to-,neu
Ses04F_impro03_F025,F,127.95,133.03,to help plan because I'm getting married. [LAUGHTER],xxx
Ses04F_impro03_M022,M,132.58,134.78,So we're going to go greens and browns.,xxx
Ses04F_impro03_F026,F,134.24,136.09,No.,xxx
Ses04F_impro03_M023,M,135.75,140.31,"Come on.  Please will you do the greens and browns, just the browns for me?",fru
Ses04F_impro03_M024,M,140.48,142.93,Just for me.  Come on.  I'm your best friend.,xxx
Ses04F_impro03_F027,F,141.36,143.51,It's not your wedding. You can-,xxx
Ses04F_impro03_M025,M,142.97,144.35,I'm your best friend,xxx
Ses04F_impro03_F028,F,143.53,144.99,You know what? You know what?,xxx
Ses04F_impro03_M026,M,144.37,146.03,Give me the browns.,xxx
Ses04F_impro03_F029,F,145.04,150.64,"You can't ruin my mood today.  If you want to wear a brown tux, you go ahead and wear a brown tux",xxx
Ses04F_impro03_M027,M,153.86,156.64,Okay.  Fine.  So green and what?,neu
Ses04F_impro03_F030,F,150.66,154.28,but bridesmaids aren't wearing brown and I'm not wearing brown.,xxx
Ses04F_impro03_M028,M,157.47,158.68,Blue?,neu
Ses04F_impro03_F031,F,158.36,159.68,Maybe,xxx
Ses04F_impro03_M029,M,159.24,161.43,"Okay, fine. Greens and blues.",neu
Ses04F_impro03_F032,F,159.86,161.58,I like blue.,xxx
Ses04F_impro03_M030,M,161.5058,164.66,Greens and blues and maybe a little light yellow?,neu
Ses04F_impro03_F033,F,164.12,165.42,That would work.,xxx
Ses04F_impro03_M031,M,165.14,166.12,Yeah?,neu
Ses04F_impro03_F034,F,165.7,171.0,"Throw in a little- little, uh, trim in yellow.  Maybe some yellow flowers.",exc
Ses04F_impro03_M032,M,170.53,179.16,"Okay.  That sounds good. Um, and, uh, we're going to get like a five, uh, story cake, right?",neu
Ses04F_impro03_F035,F,178.83,182.09,"Yeah.  I hadn't actually thought about the cake yet, but",xxx
Ses04F_impro03_M033,M,180.78,191.42,"I mean, you know, you're going to have at least, like, two hundred and fifty people come.  So we're going to need, you know, just a huge buffet.",neu
Ses04F_impro03_F036,F,191.06,192.12,Yes.,exc
Ses04F_impro03_M034,M,191.79,195.42,"Fried chicken, mashed potatoes.",neu
Ses04F_impro03_F037,F,192.19,193.99,See this is why you have to help.,xxx
Ses04F_impro03_F038,F,193.99,197.96,because you're going to take care of everything.  You're going to think of all the details that I forget.,exc
Ses04F_impro03_M035,M,197.64,200.8,Well I can't be in charge of this.  I mean I got things I got to do.,neu
Ses04F_impro03_F039,F,199.93,202.49,Well right but you can help.,xxx
Ses04F_impro03_M036,M,201.56,205.78,Well this is really exciting.  I mean- I just- I couldn't be happier right now.,exc
Ses04F_impro03_M037,M,205.78,209.29,I'm thrilled.  God.,exc
Ses04F_impro03_F040,F,205.46,206.91,Ha ha ha.,exc
Ses04F_impro03_F041,F,208.97,210.59,Ha ha.,exc
Ses04F_impro03_M038,M,210.13,213.44,Just ecstatic.  I can't believe you're my best friend,exc
Ses04F_impro03_F042,F,210.64,214.63,Just couldn't be any cooler.,exc
Ses04F_impro03_M039,M,213.47,217.89,"You're my best friend, we're growing up and now you're getting married. that's amazing",exc
Ses04F_impro03_F043,F,216.2,220.83,I know.  I've been waiting forever.  I can't believe it's finally happening.,exc
Ses04F_impro03_M040,M,219.17,224.08,Wow.  I just- I- I- I feel like I'm going to faint.,exc
Ses04F_impro03_M041,M,224.1,226.5218,I'm so- all the blood,exc
Ses04F_impro03_F044,F,223.91,226.66,You don't look like you're going to faint.,exc
Ses04F_impro03_M042,M,226.5218,231.4599,"has just rushed to my head, and I, and I mean honestly.",exc
Ses04F_impro03_M043,M,231.4599,233.47,I'm getting a little weak in the knees.,exc
Ses04F_impro03_F045,F,230.65,233.8048,So- So when are you getting married Mr. Excited?,exc
Ses04F_impro03_M044,M,234.1808,246.27,"You know that I've never-I- I have a long run of bad relationships but, you know, I mean, you got to work through it.  It's fine.",xxx
Ses04F_impro03_F046,F,244.53,249.04,What about Kathy?  I mean you guys have been dating for a while.,xxx
Ses04F_impro03_M045,M,248.59,250.64,"Yeah, but",xxx
Ses04F_impro03_F047,F,249.15,251.22,You haven't ruined it yet.,exc
Ses04F_impro03_M046,M,250.7,256.47,"Yeah.  I know but it's, you know, maybe we'll get married.  I don't know.  Should be pretty-",xxx
Ses04F_impro03_F048,F,258.59,260.65,You really like,exc
Ses04F_impro03_M047,M,256.61,262.59,"I don't know.  Okay.  I mean gosh.  There's just- look there's a lot of pressure in getting married, okay.",neu
Ses04F_impro03_F049,F,262.26,267.51,What?  She could be just as excited as I am right now.,xxx
Ses04F_impro03_F050,F,267.59,273.67,You could make her that excited.  You really like her.  You guys have been together for a really long time now.,exc
Ses04F_impro03_M048,M,271.59,273.79,"Oh, I've made her that excited.",xxx
Ses04F_impro03_F051,F,273.6982,277.3952,[LAUGHTER] That's more than I needed to know.,exc
Ses04F_impro03_M049,M,276.91,279.72,What?  You've heard me talk about it before.,xxx
Ses04F_impro03_F052,F,279.54,280.91,[laughter],exc
Ses04F_impro03_M050,M,280.58,282.5646,I'm a monster in bed.,xxx
Ses04F_impro04_M000,M,6.65,11.05,Hey.  Get out of the way.  I'm watching TV.,xxx
Ses04F_impro04_F000,F,11.81,15.6242,That's helpful.,neu
Ses04F_impro04_F001,F,15.85,25.22,I just don't think I can do this anymore.  It's been a really long time and it's not like I'm not trying.,fru
Ses04F_impro04_M001,M,25.51,28.58,Well I guess you're not trying hard enough.,neu
Ses04F_impro04_F002,F,28.23,33.9952,I am try-  it's been three years,fru
Ses04F_impro04_F003,F,34.02,46.01,and I have gone everywhere I can think of.  I have given resumes.  I have done interviews.  I've tried to pull in favors.  I've asked everybody I know for help.  I don't know what else to do.,fru
Ses04F_impro04_M002,M,46.28,51.95,"Just, I don't know, maybe you're not smart enough.",neu
Ses04F_impro04_M003,M,53.18,57.65,I mean I don't know just go out and keep trying. Just-,neu
Ses04F_impro04_M004,M,58.04,59.93,I don't know.,neu
Ses04F_impro04_F004,F,58.36,67.8,"Okay but I've been trying for three years.  Three years and I haven't gotten a bite much less actually gotten hired, and I am smart enough.  Thank you very much.",fru
Ses04F_impro04_M005,M,67.44,69.95,"Hey.  Look, I mean- you know.",neu
Ses04F_impro04_F005,F,69.61,74.77,I'm really good at what I do.  I just don't know how to make someone else see that.,ang
Ses04F_impro04_M006,M,74.48,77.55,Look bananas don't grow overnight.  Okay.,neu
Ses04F_impro04_F006,F,77.27,80.93,What?  Who says that?  Bananas don't grow overnight.,ang
Ses04F_impro04_M007,M,77.58,79.51,You need that- Time-,neu
Ses04F_impro04_M008,M,79.51,84.22,"You know- You need to just- you need, I mean it takes time to get a good job.  I mean-",neu
Ses04F_impro04_F007,F,84.05,87.53,Okay.  I think three years is a little excessive.,fru
Ses04F_impro04_M009,M,84.23,91.14,"look at me, like, you know. I mean, Hey, I- it took me, you know, like six years to get where I am now. I mean-",neu
Ses04F_impro04_F008,F,90.04,103.04,"Yeah but you weren't unemployed for three years trying to find any job.  I mean at this point I'm going to go drive a cab or, you know, work at the gas station or something.  I don't even- I don't know what to do anymore.",ang
Ses04F_impro04_M010,M,102.93,107.31,I don't know.  I mean whatever.,fru
Ses04F_impro04_F009,F,107.04,110.77,Nothing I'm trying seems to work. Just-,fru
Ses04F_impro04_M011,M,110.47,111.77,Clearly.,xxx
Ses04F_impro04_F010,F,111.48,114.58,Okay that's helpful.  Thanks.,xxx
Ses04F_impro04_M012,M,113.36,115.73,Look I'm sorry okay. It's just-,xxx
Ses04F_impro04_F011,F,114.6,117.48,Clearly everything you're doing is completely wrong.,ang
Ses04F_impro04_M013,M,116.65,120.46,"I mean, well I mean i don't know; it doesn't really affect my life, you know.",neu
Ses04F_impro04_F012,F,120.4504,125.79,Well don't you understand that this is-,fru
Ses04F_impro04_M014,M,125.37,127.4,"Yeah, I understand, but-",neu
Ses04F_impro04_F013,F,125.86,132.94,I don't even- I mean you have to have some kind of an idea.  Something you could possibly throw out there that I could maybe use.,ang
Ses04F_impro04_M015,M,129.42,132.1,"I don't know. Well like, I don't know. I mean-",neu
Ses04F_impro04_F014,F,132.94,134.9,I mean it's not like this is an,ang
Ses04F_impro04_F015,F,134.9,140.81,extreme request.  I want to find a job.  Everybody wants to find a job. It's really not that.,ang
Ses04F_impro04_M016,M,138.21,141.88,Clearly- cle- clearly you're doing something wrong.,neu
Ses04F_impro04_F016,F,141.54,143.6,"Okay. Okay, Fine.",ang
Ses04F_impro04_M017,M,141.91,147.77,"'Cause if you've been looking, you've been applying for jobs for three years. And-",neu
Ses04F_impro04_F017,F,143.61,147.25,Okey So I'm doing something wrong.  What am I doing wrong?,ang
Ses04F_impro04_F018,F,147.35,154.25,I'm really good at what I do.  I'm smart.  I'm trained.  I have the education.  I'm talented.  I cannot-,ang
Ses04F_impro04_M018,M,153.9,160.94,Are you- I mean do you like get dressed up and everything when you go to the job interview?,neu
Ses04F_impro04_F019,F,158.66,162.2,Well yeah I mean I like take a shower and stuff.,fru
Ses04F_impro04_M019,M,161.85,166.64,"And you like- you know, you shave your legs and everything?",neu
Ses04F_impro04_F020,F,165.48,169.29,[LAUGHTER] Yeah.  Usually.,fru
Ses04F_impro04_M020,M,167.43,171.54,"and I want- I mean you know you've got to, like, do your hair.  I mean- I don't know, it's like,",neu
Ses04F_impro04_F021,F,170.23,173.07,"Yeah, I- I make my",fru
Ses04F_impro04_F022,F,174.56,179.7,I make myself very presentable before I go to any kind of interview.,fru
Ses04F_impro04_M021,M,171.54,176.83,"you know what I mean? You know, it's like they say presentation is, like eighty percent.",neu
Ses04F_impro04_M022,M,177.33,183.36,or some- some large percent of- of success.,neu
Ses04F_impro04_F023,F,181.09,185.36,"Uhuh. Uhuh. Yeah, yeah. Good quote.",fru
Ses04F_impro04_M023,M,183.92,190.69,"Because I don't know I mean just, you know, just keep- keep- keep at it.  Keep trying.  Go-",neu
Ses04F_impro04_F024,F,190.3,197.98,Buck-O. That's really helpful.  Just keep chugging along.  The little engine that could.,fru
Ses04F_impro04_M024,M,193.64,200.0,"What do you want me to? Look, Hey look if I could- Don't get all sassy.",xxx
Ses04F_impro04_F025,F,198.58,202.71,Well you- just you're doing something wrong.,ang
Ses04F_impro04_M025,M,200.23,205.99,"Look if I could give you a job,if I could give you a job I would but I mean I'm not in that position. I'm-",fru
Ses04F_impro04_F026,F,203.86,211.32,Well maybe you could help.  I mean you've got a job.  I'm willing to look outside of my realm.  I could try something else.,fru
Ses04F_impro04_M026,M,210.56,215.33,"Hey, I'd love to help you but I- you don't have the kind of training that I-",neu
Ses04F_impro04_F027,F,214.23,218.92,I'll get it.  I just need a job.  I don't care what it is.,fru
Ses04F_impro04_M027,M,217.72,219.71,"So, go to McDonalds.",fru
Ses04F_impro04_F028,F,219.28,223.6,Well I mean I need to make a little bit more than the minimum wage fry flipper.,fru
Ses04F_impro04_M028,M,223.31,226.14,Well you've got to start somewhere.  I mean-,neu
Ses04F_impro04_F029,F,225.26,231.63,I did start somewhere.  I worked my way up.  I'm not going to start at the bottom again.,fru
Ses04F_impro04_M029,M,231.48,238.26,Well you're going to have to.  You don't really have an option.  What's your problem?,fru
Ses04F_impro04_F030,F,238.06,244.24,What's my problem?  What's my problem? I don't have a job.,ang
Ses04F_impro04_M030,M,241.4,244.35,I don't know it's like I'm trying to be-,neu
Ses04F_impro04_F031,F,245.78,249.39,I thought I was pretty clear about what the problem was.,ang
Ses04F_impro04_M031,M,244.39,246.65,I'm trying to be helpful.,neu
Ses04F_impro04_M032,M,247.43,251.3448,"I'm trying to be helpful and you're just, like, coming at me with, like, attacks.",xxx
Ses04F_impro04_F032,F,251.21,259.49,Well maybe you could be a little helpful.  I mean obviously you don't have any problems so would it really take so much time out of your day to just go ahead and help somebody else.,fru
Ses04F_impro04_M033,M,254.13,256.39,I'm trying to watch TV.,neu
Ses04F_impro04_M034,M,259.0733,263.11,I'm trying to watch TV. TV.,xxx
Ses04F_impro04_F033,F,262.7,265.43,That's important.  That's really important.,fru
Ses04F_impro05_M000,M,3.76,7.99,Welcome to Northwest Airlines.  How can I help you?,fru
Ses04F_impro05_F000,F,7.37,9.93,You guys lost my bag.,fru
Ses04F_impro05_M001,M,10.24,13.1,Did you file a complaint already?,fru
Ses04F_impro05_F001,F,12.39,14.4236,Yeah.  Yeah I did.,fru
Ses04F_impro05_M002,M,14.25,20.22,Where?  Did you do it at the front desk or by the baggage claims?,fru
Ses04F_impro05_F002,F,18.21,30.22,"I-I don't know.  The place where they told me to go.  Look they told me to come talk to you because you guys lost my bag.  Not it's late.  Not it will be here soon, lost it completely.  What are you going to do about that?",fru
Ses04F_impro05_M003,M,30.4451,36.73,"Ma'am, first of all I'd like you to calm down.  Second of all-",fru
Ses04F_impro05_F003,F,35.66,43.16,Look that bag has my entire life in it and you just lost it.,fru
Ses04F_impro05_M004,M,41.88,44.39,I understand that ma'am.,xxx
Ses04F_impro05_F004,F,43.22,45.43,"Lost it just, like, I mean,",ang
Ses04F_impro05_M005,M,47.1689,49.93,"Ma'am, I understand that.",fru
Ses04F_impro05_F005,F,45.43,48.83,it's not like it just disappeared into thin air. Somebody wasn't paying attention,ang
Ses04F_impro05_F006,F,48.83,57.25,"because my bag was very easy to keep track of.  It's got big, you know, rainbow colored crap all over it and no one was paying attention because now it's just gone.",ang
Ses04F_impro05_M006,M,56.82,68.13,"I understand that.  The best I can do for you, at this moment, is give you fifty dollar check courtesy of Northwest Airlines for inconveniencing you in losing your luggage.",fru
Ses04F_impro05_F007,F,67.73,69.72,Wait.  What?,sur
Ses04F_impro05_M007,M,70.46,74.59,"At this moment in time, all I can do for you is give you-",fru
