utterance_id,text,label
Ses01F_impro03_F021,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,happy
Ses01F_impro03_F022,Fifty bucks. Mmhmm.,neutral
Ses01F_impro03_F023,Yeah.,neutral
Ses01F_impro03_F024,Well so now we're married. We have cat children.,happy
Ses01F_impro03_F025,"We renamed Brenda, Lumber Janet.",happy
Ses01F_impro03_F026,She needs a new name each state that we go into. [LAUGHTER],happy
Ses01F_impro03_M000,So what's up?  What's new?,neutral
Ses01F_impro03_M001,Yeah.  I heard.,neutral
Ses01F_impro03_M006,He turned to you and was like...,neutral
Ses01F_impro03_M007,[LAUGHTER] That's really romantic.,happy
Ses01F_impro03_M008,Yeah.,neutral
Ses01F_impro03_M009,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",neutral
Ses01F_impro03_M011,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,neutral
Ses01F_impro03_M013,Like you need another one of those.[LAUGHTER],happy
Ses01F_impro03_M014,Is that your phone?,happy
Ses01F_impro03_M015,He loves you.,happy
Ses01F_impro03_M016,How much did he win at the slot?,neutral
Ses01F_impro03_M019,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,neutral
Ses01F_impro03_M020,"But the pennies always get you because you end up spending like, you know, fifty bucks.",neutral
Ses01F_impro03_M021,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",neutral
Ses01F_impro03_M023,[LAUGHTER] Cat babies.,happy
Ses01F_impro03_M024,That's fair enough.,neutral
Ses01F_impro04_F000,"Uh, what?  Craig's List?  Oh the internet thing?",neutral
Ses01F_impro04_F001,I don't know.  Isn't that-- that's all like escort services and things like that.,neutral
Ses01F_impro04_F005,He just...,neutral
Ses01F_impro04_F006,you know what?  I heard about that job.  I applied for that.,neutral
Ses01F_impro04_F009,Yeah.,neutral
Ses01F_impro04_F013,I just- I mean I call people up and I tell them what I'm good at.,neutral
Ses01F_impro04_F014,Yeah.,neutral
Ses01F_impro04_F028,I'm not frustrated.,angry
Ses01F_impro04_F029,Who do you think you are?,angry
Ses01F_impro04_F030,You are so high and mighty.  I just--,angry
Ses01F_impro04_F031,Oh.  I'm saving the environment. I'm riding this car because I- I want to.,angry
Ses01F_impro04_F032,"The bus, I'm riding the bus because I want to.",angry
Ses01F_impro04_F033,I can not-- you are not here by choice.  Nobody would ride this bus by choice.,angry
Ses01F_impro04_M000,"Have you tried, uh, Craig's List?",neutral
Ses01F_impro04_M001,Yeah.,neutral
Ses01F_impro04_M002,No.  There's regular jobs on there.,neutral
Ses01F_impro04_M003,Uh huh.,neutral
Ses01F_impro04_M004,I'm just saying I have a friend that got a good job on it so I was just recommending it.,neutral
Ses01F_impro04_M005,He's like a manager for a theatre.,neutral
Ses01F_impro04_M006,He's like a house manager. Yeah.  It's a good job.,neutral
Ses01F_impro04_M007,You did?,neutral
Ses01F_impro04_M008,Yeah.,neutral
Ses01F_impro04_M009,You've been looking for a job for a long time; that was a long time ago.  Right?,neutral
Ses01F_impro04_M010,Hmm.,neutral
Ses01F_impro04_M011,I don't know.  He had a really good resume I guess and--,neutral
Ses01F_impro04_M012,Yeah.  Do you have a resume?,neutral
Ses01F_impro04_M013,It's kind of helpful when getting a job.,neutral
Ses01F_impro04_M014,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,neutral
Ses01F_impro04_M015,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",neutral
Ses01F_impro04_M016,"Yeah.  But the piece of paper helps, too.",neutral
Ses01F_impro04_M017,"No.  But it has an outline, you know.",neutral
Ses01F_impro04_M018,"I know.  Okay.  Well, um. Maybe--",neutral
Ses01F_impro04_M019,Yeah.,neutral
Ses01F_impro04_M020,"Okay, yeah.  I would imagine.",neutral
Ses01F_impro04_M021,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",neutral
Ses01F_impro04_M022,maybe get a car.,neutral
Ses01F_impro04_M023,"I just, you know, think you should try a little harder maybe.",neutral
Ses01F_impro04_M024,I didn't say that.,neutral
Ses01F_impro04_M025,"I am riding the bus, but by choice.",neutral
Ses01F_impro04_M026,"To save the environment, carpool.",neutral
Ses01F_impro04_M027,Yes.  One less car at a time.,neutral
Ses01F_impro04_M028,Mmhmm.,neutral
Ses01F_impro04_M031,I don't think I'm anyone.,neutral
Ses01F_impro04_M032,I- I-I didn't-- okay.,neutral
Ses01F_impro05_F008,Flight seven fourteen.,angry
Ses01F_impro05_F009,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",angry
Ses01F_impro05_F011,Is this a joke?,angry
Ses01F_impro05_F012,"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",angry
Ses01F_impro05_F014,"You're kidding me, this is a joke.",angry
Ses01F_impro05_F015,Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,angry
Ses01F_impro05_F016,We flew in from Paris.  I've been shopping for three weeks.,angry
Ses01F_impro05_F017,I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,angry
Ses01F_impro05_F018,Do you understand who my husband is?,angry
Ses01F_impro05_F019,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",angry
Ses01F_impro05_F020,Oh-Oh.  It's a gift.  You're-You're helping me out here?,angry
Ses01F_impro05_F021,You are cruising for a bruising.  You are in so much trouble.,angry
Ses01F_impro05_F022,Who's in charge?  Who is the president of Jet Blue?,angry
Ses01F_impro05_F023,Because I probably know him.,angry
Ses01F_impro05_F024,Yeah.,angry
Ses01F_impro05_F025,"I don't want money, I want my clothes.",angry
Ses01F_impro05_F026,What's your name?,angry
Ses01F_impro05_F028,Okay.  I'll do that.,angry
Ses01F_impro05_F029,I don't think you have done everything you could do because I don't have my bag here yet.,angry
Ses01F_impro05_F030,A letter? I'll make a personal phone call.,angry
Ses01F_impro05_M000,Hi.  Thanks for waiting.,neutral
Ses01F_impro05_M001,Can I help you?,happy
Ses01F_impro05_M002,Uh huh.,happy
Ses01F_impro05_M003,Okay.,neutral
Ses01F_impro05_M004,Okay.,neutral
Ses01F_impro05_M005,Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,neutral
Ses01F_impro05_M006,Okay.,neutral
Ses01F_impro05_M007,all right- okay.  And you lost your bag? Is that- that the issue?,neutral
Ses01F_impro05_M008,Uh-huh.,neutral
Ses01F_impro05_M009,"Yeah. Yeah, I don't see- I don't see any--",neutral
Ses01F_impro05_M010,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",neutral
Ses01F_impro05_M011,"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",neutral
Ses01F_impro05_M012,"for such an inconvenience and your bag, but",neutral
Ses01F_impro05_M013,Yeah.,neutral
Ses01F_impro05_M014,"No, no.",neutral
Ses01F_impro05_M015,"No, no.  This is real.",neutral
Ses01F_impro05_M016,"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",neutral
Ses01F_impro05_M017,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,neutral
Ses01F_impro05_M019,Yes.,neutral
Ses01F_impro05_M020,I know.,neutral
Ses01F_impro05_M022,Okay. Calm-,neutral
Ses01F_impro05_M023,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",neutral
Ses01F_impro05_M024,"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",neutral
Ses01F_impro05_M025,It's a gift.,neutral
Ses01F_impro05_M026,"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",neutral
Ses01F_impro05_M027,With the amount of--,neutral
Ses01F_impro05_M028,"Um, actually, I don't know. I don't know. Oh really?",neutral
Ses01F_impro05_M029,Well then maybe you can just call him and he can give you more money.  But right now all I can do--,neutral
Ses01F_impro05_M030,"Right now all I can do is just give you this fifty dollars, I'm really sorry.",neutral
Ses01F_impro05_M031,Oh.  My name is Sean. Hi.,neutral
Ses01F_impro05_M034,"If you want, you can write a letter.  I can give you the address. Yes.  An angry--",neutral
Ses01F_impro05_M035,"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",neutral
Ses01F_impro06_F002,No.,sad
Ses01F_impro06_F003,That's sweet.,neutral
Ses01F_impro06_F004,Thank you.,neutral
Ses01F_impro06_F005,I went to see her headstone a week or two ago.,sad
Ses01F_impro06_F006,"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",sad
Ses01F_impro06_F007,So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,sad
Ses01F_impro06_F008,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,sad
Ses01F_impro06_F009,"this woman came up and, you know, it was hers. It was her person that was there.",neutral
Ses01F_impro06_F010,"Yeah.  And she was like, that's pathetic, I hope you enjoy it.",sad
Ses01F_impro06_F011,"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",sad
Ses01F_impro06_F012,"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.",sad
Ses01F_impro06_F013,I don't know.,sad
Ses01F_impro06_F014,At the cemetery?,sad
Ses01F_impro06_F015,couple hours.,sad
Ses01F_impro06_F016,"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.",neutral
Ses01F_impro06_F018,Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.,neutral
Ses01F_impro06_F019,Yeah.,neutral
Ses01F_impro06_F020,"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.",sad
Ses01F_impro06_F021,"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.",sad
Ses01F_impro06_F022,She used to have these poetry parties on Memorial Day.,sad
Ses01F_impro06_F023,Umm. Yeah.,sad
Ses01F_impro06_F024,"And the last time before she died, I remember she couldn't really stand, umm...",sad
Ses01F_impro06_F025,"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool.",sad
Ses01F_impro06_F026,"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",sad
Ses01F_impro06_F027,"There's another one, I can't remember.",neutral
Ses01F_impro06_F028,"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?",sad
Ses01F_impro06_M000,"I'm sorry, Joy.",sad
Ses01F_impro06_M001,Is there anything I can get you?  Do you want me to take care of anything for you or...?,neutral
Ses01F_impro06_M002,...pick up anything?,neutral
Ses01F_impro06_M003,You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,sad
Ses01F_impro06_M004,Hmm.,neutral
Ses01F_impro06_M005,Oh.  She was there?,neutral
Ses01F_impro06_M006,Mmhmm.,neutral
Ses01F_impro06_M007,Yeah.,sad
Ses01F_impro06_M008,How long were you there for?,neutral
Ses01F_impro06_M009,Mmhmm.,neutral
Ses01F_impro06_M010,Oh really?,neutral
Ses01F_impro06_M011,You ran through the sprinklers in the cemetery?,neutral
Ses01F_impro06_M012,Is it a big cemetery?,neutral
Ses01F_impro06_M013,"Oh, so they're like really old too, really old ones?",neutral
Ses01F_impro06_M014,Mmhmm.,neutral
Ses01F_impro06_M015,Mmhmm.,neutral
Ses01F_impro06_M016,So she wrote a lot of poetry?,neutral
Ses01F_impro07_M012,Is this a Masters or a P.h.D.?  Or can you...? Nice,neutral
Ses01F_impro07_M013,"That's good.  Don't you have to like teach a class, too, when you do that?",neutral
Ses01F_impro07_M018,"Of course, right.  That's where the real money is, being a student.",neutral
Ses01F_impro07_M019,That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.,happy
Ses01F_script01_1_F005,"He's dreaming of him again, walking around.",neutral
Ses01F_script01_1_F015,"Well I got an idea, but what's your story?",neutral
Ses01F_script01_1_F034,Just give it some more thought.,neutral
Ses01F_script01_1_F035,What the hell is this?,angry
Ses01F_script01_1_F037,You have a business here.  What the hell is this?,angry
Ses01F_script01_1_F038,Oh.  Must you be inspired?,angry
Ses01F_script01_1_F041,"All right.  But you don't want to think like that because what the hell are we working for, Chris?  It's all for you.  This whole shooting match is for you.",angry
Ses01F_script01_1_F042,Just don't think like that.,angry
Ses01F_script01_1_M000,He saw it.,neutral
Ses01F_script01_1_M001,He was out here when it broke.,neutral
Ses01F_script01_1_M002,Four o clock this morning.  I heard a crack and I woke up and looked out.  He was standing right over there when it cracked.,neutral
Ses01F_script01_1_M003,I don't know.,neutral
Ses01F_script01_1_M004,I guess he is.,neutral
Ses01F_script01_1_M007,You know Larry is not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?,neutral
Ses01F_script01_1_M010,We've got to say it to him.,neutral
Ses01F_script01_1_M012,"Sit down, Mom.  I want to talk to you.",neutral
Ses01F_script01_1_M014,You know.,neutral
Ses01F_script01_1_M015,I'm going to ask her to marry me.,neutral
Ses01F_script01_1_M016,You know it's not just my business.,neutral
Ses01F_script01_1_M017,"So all right then, I'll just go ahead with it?",neutral
Ses01F_script01_1_M019,"You know sometimes you infuriate me.  you know that?  Isn't it your business if I tell father and he throws a fit about it?  God, you have such a talent for ignoring things.",angry
Ses01F_script01_1_M023,I wanted to get this settled first.,neutral
Ses01F_script01_1_M024,"Well if she does, then that's it.  That's the end of it.  From her letters, though, I think she's pretty much forgotten him.",neutral
Ses01F_script01_1_M025,And then we'll thrash it out with father.  Okay Mom?  Don't avoid me.,neutral
Ses01F_script01_1_M034,"I'll get out.  I'll get married and I'll move somewhere else, maybe New York.",neutral
Ses01F_script01_1_M039,"On this, I would.",neutral
Ses01F_script01_1_M040,Then help me stay here.,neutral
Ses01F_script01_2_F003,He's not going to marry her.,angry
Ses01F_script01_2_F004,It's got that about it.,angry
Ses01F_script01_2_F005,"What is going on here, Joe?",angry
Ses01F_script01_2_F006,She is not his girl.  She knows she's not.,angry
Ses01F_script01_2_F007,"Then why is she still single?  New York is full of men, why is she still single?  Probably a hundred people told her she's foolish, but she waited.",angry
Ses01F_script01_2_F008,"Because she knows what I know, that's why.  She's faithful as a rock.  In my darkest moments, I think of her waiting and I know that I'm right.",angry
Ses01F_script01_2_F009,"Nobody in this house dares take away her faith, Joe.  You know strangers might, but not his father, not his brother.",angry
Ses01F_script01_2_F010,"I want you to-- I want you to act like he is coming back, both of you.  Don't think I haven't noticed you since Chris invited her here.",angry
Ses01F_script01_2_F011,I won't stand for any nonsense.,angry
Ses01F_script01_2_F012,"Because if he's not coming back, I'll kill myself.  Oh laugh, laugh all you like but why does this happen the very night he comes back.  She goes to sleep in his room and his memorial breaks in pieces.  Look at it, Joe, look.",angry
Ses01F_script01_2_F013,"Just believe with me, Joe. Only last week a man came back in Detroit missing longer than Larry.  Believe with me. You, above all, have got to believe. Just believe.",angry
Ses01F_script01_2_M001,Well maybe...maybe he just wanted to see her.,neutral
Ses01F_script01_2_M004,How do you know he's even thinking about it?,neutral
Ses01F_script01_2_M008,How do you know why she waited?,neutral
Ses01F_script01_2_M017,"What have I got to hide?  What the hell is the matter with you, Kate?",angry
Ses01F_script01_3_F000,You're the only one who still loves his parents.,neutral
Ses01F_script01_3_F001,It's not so bad; it's a good thing.,neutral
Ses01F_script01_3_F002,"[BREATHING] You know, it's lovely here.  The air is sweet.",neutral
Ses01F_script01_3_F003,"I'm not sorry, no. But I'm...I can't stay.",neutral
Ses01F_script01_3_F004,"For one thing, your mother much as told me to go.",neutral
Ses01F_script01_3_F005,"And then, you.  You've been kind of...",neutral
Ses01F_script01_3_F006,Sort of embarrassed ever since I got here.,neutral
Ses01F_script01_3_F007,I knew they would.,neutral
Ses01F_script01_3_F008,"Well sure, from your mother's point of view.  Why else would I come?",neutral
Ses01F_script01_3_F009,"I, umm. I guess, I guess that's kind of why I came.",neutral
Ses01F_script01_3_F010,[BREATHING],happy
Ses01F_script01_3_F011,[LAUGHTER],happy
Ses01F_script01_3_F012,[LAUGHTER],happy
Ses01F_script01_3_F013,No. No,happy
Ses01F_script01_3_F014,"Chris, I've been ready a long, long, time.",neutral
Ses01F_script01_3_F015,I almost got married two years ago.,neutral
Ses01F_script01_3_F016,You started to write me.,neutral
Ses01F_script01_3_F017,Every day since.,happy
Ses01F_script01_3_F019,beating around the bush.,happy
Ses01F_script01_3_F020,"I will never forgive you.  All I'd done was sit around wondering if I was crazy waiting so long, wondering if you were thinking about me.",happy
Ses01F_script01_3_F021,Not like that you're not.,happy
Ses01F_script01_3_F022,"Like Larry's brother.  Do it like you, Chris.",neutral
Ses01F_script01_3_F028,"Yeah, sure.",neutral
Ses01F_script01_3_F029,How many?,neutral
Ses01F_script01_3_F030,"Aw, geez.",sad
Ses01F_script01_3_F031,Mmhmm.,neutral
Ses01F_script01_3_F035,What would I do with a fortune?,happy
Ses01F_script01_3_M000,"I know.  It kind of went out of style, didn't it?",neutral
Ses01F_script01_3_M001,You're not sorry you came.,neutral
Ses01F_script01_3_M003,Well.,neutral
Ses01F_script01_3_M004,What?,neutral
Ses01F_script01_3_M005,Well I was kind of planning of sneaking up on you over the course of a week or so.  They just take it for granted that we're all set.,neutral
Ses01F_script01_3_M008,"I love you. Annie, I love you.",happy
Ses01F_script01_3_M009,"I don't really have any imagination, that's all I know how to say.",happy
Ses01F_script01_3_M010,"Am I embarrassing you? Are you - See, I didn't want to do it here with this yard, on this porch.  I wanted it to be somewhere new, some place fresh for both of us.",happy
Ses01F_script01_3_M015,Why didn't you let me know?,happy
Ses01F_script01_3_M016,Give me a...,happy
Ses01F_script01_3_M017,Give me a kiss.,happy
Ses01F_script01_3_M019,"Oh Annie, we are going to live now.  I am going to make you so happy.",happy
Ses01F_script01_3_M020,I kissed you.,happy
Ses01F_script01_3_M021,"Hey, let's drive some place.  Huh?  Let's get out of here.",sad
Ses01F_script01_3_M022,No it's nothing like that. It's-,sad
Ses01F_script01_3_M023,Yeah.  I suppose I have been. But it's going from me.,sad
Ses01F_script01_3_M024,I don't even know how to start.,sad
Ses01F_script01_3_M025,"It's just all mixed up with so many other things, you know?  You know overseas I was in command of a company?",sad
Ses01F_script01_3_M026,Well I lost them.,sad
Ses01F_script01_3_M027,Pretty much all.,sad
Ses01F_script01_3_M028,You can't just toss off a thing like that because they weren't just men. You know?,sad
Ses01F_script01_3_M029,"Like for instance, there was this one time it had been raining for several days and this kid he just came up to me and he gave me his last pair of dry socks.  He just put them in my pocket.  That's a little thing, you know, but that's what kind of guys I had.",sad
Ses01F_script01_3_M030,"They didn't die, they killed themselves for each other.  I mean that, exactly.  Just a little more selfish and they would all be here today.",sad
Ses01F_script01_3_M032,"To bring that on to the earth again, you know, is like some kind of monument and I thought I would just make a difference to them.",sad
Ses01F_script01_3_M033,"But then I came home and it was incredible, you know?  The whole thing was just kind of this random bus accident.  You know, I went back to the rat race again, I went to work.",sad
Ses01F_script01_3_M036,And I didn't want any of it. I guess that included you.,sad
Ses01F_script01_3_M037,I just want you to know Annie.,neutral
Ses01F_script02_1_F000,Fine.,neutral
Ses01F_script02_1_F004,That's not your flashlight.,neutral
Ses01F_script02_1_F006,You keep saying my flashlight like it's just yours.,angry
Ses01F_script02_1_F007,How's that supposed to make me feel?,angry
Ses01F_script02_1_F008,Yeah.,neutral
Ses01F_script02_1_F009,[LAUGHTER],happy
Ses01F_script02_1_F010,I'm cold.,sad
Ses01F_script02_1_F015,Not particularly.,neutral
Ses01F_script02_1_F024,That's the wind.,neutral
Ses01F_script02_1_F025,About what?,neutral
Ses01F_script02_1_M007,"The flashlight, the silver one.  There's only one, isn't there?",neutral
Ses01F_script02_1_M008,Whose is it?,neutral
Ses01F_script02_1_M009,"Oh...well. Yeah, of course.",neutral
Ses01F_script02_1_M010,No.,neutral
Ses01F_script02_1_M011,"Of course, our flashlight.  What's yours is mine.  Me flashlight es su flashlight.",neutral
Ses01F_script02_1_M013,Do they always run during a full moon?  I don't remember.  Was it full last year?,neutral
Ses01F_script02_1_M014,"Huh.  Are you cold?  Do you want my jacket?  No?  you know, we should have brought the blanket?  Our blanket.",neutral
Ses01F_script02_1_M015,"Aw.  Do you know, I should have brought a six pack, too.  A six pack, that would be just the ticket right about now.  Huh?",neutral
Ses01F_script02_1_M020,Right.,neutral
Ses01F_script02_1_M021,"Wait, that's my point, too.",neutral
Ses01F_script02_1_M023,Why not?,neutral
Ses01F_script02_1_M024,"Honey, this is like a natural phenomenon. I mean... People in Kansas would have to get plane reservations and get hotel rooms to see this.  It's just forty minutes away for us; it's too good to pass up.",neutral
Ses01F_script02_1_M025,Yeah.  But this..this moment on the beach is like the highlight of their little lives.  All that flopping around is laying eggs or what to do - spawning or mating or whatever.,neutral
Ses01F_script02_1_M026,This is a big night for these little guys.  It's like life's last orgy.,neutral
Ses01F_script02_1_M029,"There's like mystery here, there's magic.  It's like a little bit of the unexplainable.  I just can't see how you're not interested.",neutral
Ses01F_script02_1_M031,"God, I don't get it.  you know the first time we came here, you said it was the best night of your life?",neutral
Ses01F_script02_1_M032,"And last year, I remember distinctly you said, you were so excited to get here that you don't remember you stubbed your toe until we were in the car.",neutral
Ses01F_script02_1_M033,Ahh...we weren't in a good spot.,neutral
Ses01F_script02_1_M034,"We just weren't in a good spot.  I'm telling you, this is a much better spot.  I have instincts for these things.",neutral
Ses01F_script02_1_M036,"God, this is great.  Think about this.  I know you are not interested, but just think about this.",happy
Ses01F_script02_1_M043,So what do you think?,happy
Ses01F_script02_1_M044,"About all of that, about all I was talking about.",happy
Ses01F_script02_2_F000,That's the wind.,neutral
Ses01F_script02_2_F001,About what?,neutral
Ses01F_script02_2_F006,"Don't ask me that.  I hate it when you ask me that, you always ask me that.  It's insulting.",angry
Ses01F_script02_2_F008,"For God- Grow up, Augie.  The fish are not going to arrive.",angry
Ses01F_script02_2_F009,Because they never do.  Have they...Have they ever?,angry
Ses01F_script02_2_F010,Twice is every time we have tried; that's ever.,angry
Ses01F_script02_2_F015,"I feel like I'm always just standing here waiting.  I feel like this night is going to be the night, but it never is.",sad
Ses01F_script02_2_F016,"For God's sake, this is not about fish.",angry
Ses01F_script02_2_F017,Do you remember the first year we came here?  It was like four years after we got married.,neutral
Ses01F_script02_2_F019,"You whispered the sweetest, most intimate things to me right into my ear so I could feel them as much as hear them.  And I remember thinking, this is it.  You know, finally, I am as happy as I'm supposed to be.",happy
Ses01F_script02_2_F022,I'd rather not remember some things.  I'd rather not hope for some things.,sad
Ses01F_script02_2_F023,No.,neutral
Ses01F_script02_2_F026,No.,neutral
Ses01F_script02_2_F034,"I know you are Augie, I know.",sad
Ses01F_script02_2_F035,"I know you meant this to be special, I know that you wanted it to be right, but I just can't help thinking that, I can't help wishing that I was somewhere else.",sad
Ses01F_script02_2_F036,I didn't say that.,sad
Ses01F_script02_2_F040,"You're the one who probably wishes he was with somebody else.  Somebody who doesn't take things so seriously, who could enjoy herself.",sad
Ses01F_script02_2_F041,"So maybe we are in the wrong spot, but we are with the right person.",neutral
Ses01F_script02_2_F042,"Hmm.  I noticed that, it's pretty. Big old white moon.",happy
Ses01F_script02_2_F043,"Augie, you bought refreshments.",happy
Ses01F_script02_2_F044,I guess we don't need glasses.,happy
Ses01F_script02_2_F045,I'm beginning to think this might be the right spot after all.,happy
Ses01F_script02_2_F046,"Augie, I'm sorry.",sad
Ses01F_script02_2_F047,Or not.,neutral
Ses01F_script02_2_M002,About what I was saying.,neutral
Ses01F_script02_2_M006,"Carla, can I ask you something?  Now, don't take this the wrong way, but are you on your period?",neutral
Ses01F_script02_2_M016,"Okay.  So you were fine during that phone call from Marge and then dinner was okay.  And doing the dishes was fine and then I was going to take a shower and you're watching the news and you said the grunions are running tonight, do you want to go?  And I said, sure great, let's go.",neutral
Ses01F_script02_2_M017,"Okay.  So I am putting out the pets, getting the car out of the garage.",neutral
