dialogue_id; speaker; description;
Ses02F_script01_1;F;Cautious and protective, emotionally attached to the family's delicate balance. She is hesitant to confront painful truths, prefers denial or avoidance, and worries about the emotional impact of decisions on family members, especially the father.;
Ses02F_script01_2;M;Calm and rational, often trying to soothe and reason with F. He is somewhat guarded, reluctant to share feelings openly, and appears practical. He is skeptical but willing to listen. M tries to maintain peace and avoid conflict, showing patience but also some emotional distance.;
Ses02F_script01_2;F;Emotional, intense, and deeply invested in the situation. She expresses concern and suspicion, driven by loyalty and faithfulness. F is vulnerable, fearful of loss, and expresses desperation. She is persistent in seeking belief and reassurance from M, showing emotional transparency and a protective attitude toward others.;
Ses02F_script01_3;M;Introspective and burdened by past trauma (war losses). He is honest about his feelings of shame and struggle to reconcile his past with present life. M is loving and sincere but also hesitant and somewhat insecure about expressing his emotions fully. He values responsibility and moral integrity deeply.;
Ses02F_script01_3;F;Perceptive, caring, and supportive but also pragmatic. She notices social tensions and emotional undercurrents, showing sensitivity to others' feelings. F is patient but firm, willing to confront difficult topics. She desires emotional openness and commitment, pushing M toward vulnerability and truth.;
Ses02F_script02_1;M;Enthusiastic, romantic, and deeply engaged with the natural phenomenon they are observing. He shows curiosity, poetic imagination, and a hopeful, optimistic attitude. He tries to include and comfort F, offering his jacket and sharing detailed stories. He is persistent, almost childlike in his excitement, and values shared experiences.;
Ses02F_script02_1;F;Pragmatic, skeptical, and somewhat resigned. She expresses coldness both physically and emotionally, appears less interested or even cynical about the event, and challenges M’s enthusiasm. F’s responses are short, often dismissive, showing emotional distance and frustration, hinting at a deeper dissatisfaction or fatigue with the repeated disappointments.;
Ses02F_script02_2;M;Hopeful and tries to rationalize and understand F's mood, showing concern and a desire to connect emotionally. He is attentive and reflective, attempting to find the turning point in their relationship’s dynamics. M is earnest but sometimes awkward, trying to navigate tension with sensitivity.;
Ses02F_script02_2;F;Emotionally conflicted and guarded, expressing frustration and emotional distance. She is skeptical of the event's significance, voices disillusionment with repeated unmet expectations, and reveals vulnerability when recalling past moments. She appears protective of her feelings and wary of being misunderstood or dismissed.;
Ses02F_script03_1;M;M shows a flippant, philosophical attitude toward life and love, often masking vulnerability with humor and cynicism. He seeks to downplay seriousness, advocating laughter as a defense against existential angst. He can be possessive but also accepts imperfections in their relationship with a playful, sometimes dark humor.;
Ses02F_script03_1;F;F is more earnest and emotionally aware, often reflecting on the fragility and transient nature of happiness and love. She balances M's flippancy with grounded concerns and a touch of melancholy. She demonstrates loyalty and affectionate protectiveness, yet is willing to engage in teasing and affectionate banter.;
Ses02F_script03_2;M;M reveals jealousy, insecurity, and a somewhat controlling nature, especially regarding past infidelities and trust issues. His tone shifts between sarcastic and bitter, showing resentment and emotional volatility. Despite attempts at humor, underlying bitterness and tension are evident.;
Ses02F_script03_2;F;F is defensive, dismissive of M's accusations, and emotionally distant, showing frustration and boredom with their ongoing conflicts. She is assertive, quick to reject M's provocations, and not afraid to confront his temper. Her tone is sardonic and weary, indicating emotional fatigue with the relationship.;
Ses02M_impro01;M;Frustrated and impatient individual, feels inconvenienced by procedural requirements, lacks prior knowledge of rules, somewhat confrontational but polite, tries to negotiate exceptions, shows stress due to long wait and inconvenience.;
Ses02M_impro01;F;Professional, firm, and rule-bound worker, patient but clear and non-negotiable about requirements, tries to explain policy consistently, maintains calm despite customer's frustration, adheres strictly to procedure, uses polite but firm language.;
Ses02M_impro02;M;Caring and devoted partner, expresses love and concern, tries to reassure and comfort, realistic yet hopeful, accepts danger but focuses on family future, emotionally vulnerable, communicates responsibility and commitment.;
Ses02M_impro02;F;Anxious and emotionally vulnerable, fearful of separation and danger, expresses worry about single parenting, seeks reassurance, pragmatic but emotionally expressive, desires safety and stability, strongly connected to family bonds.;
Ses02M_impro03;M;Expressive and emotionally open, showing excitement and nervousness about proposing marriage. He is thoughtful, planning a surprise, and values family input (mom's taste for the ring). He displays confidence mixed with vulnerability and a romantic, playful side.;
Ses02M_impro03;F;Supportive, enthusiastic, and emotionally engaged. She responds with empathy and excitement, encouraging the speaker and sharing in the joy. She is caring, attentive, and expresses romantic idealism, showing curiosity about future plans and validation about important details like the ring.;
Ses02M_impro04;M;Frustrated and uncertain, struggling with self-doubt about career prospects. He shows persistence but also feelings of failure and confusion about the future. He is reflective, considering alternative paths, and somewhat resigned, yet still seeking understanding and reassurance.;
Ses02M_impro04;F;Compassionate and encouraging, providing emotional support and motivation. She validates his efforts, tries to boost his confidence, and offers practical suggestions like taking a break to clear his mind. She shows empathy and a positive outlook, helping the speaker to feel less isolated in his struggles.;
Ses02M_impro05;M;The male speaker is clearly distressed and frustrated due to his lost luggage. He is persistent, anxious, and somewhat confrontational, seeking reassurance and concrete help. He values his belongings highly and struggles to accept the airline’s limited compensation and vague explanations. His tone conveys urgency and disbelief at the mishandling.;
Ses02M_impro05;F;The female speaker is professional, patient, and empathetic but constrained by company policy. She tries to explain the situation calmly and manages the customer's expectations while maintaining firm boundaries. She shows understanding but ultimately cannot offer much beyond standard procedures and minimal compensation.;
Ses02M_impro06;M;The male speaker is grieving and emotionally vulnerable, processing the loss of a close person. He expresses sadness, confusion, and the difficulty of acceptance. His speech is reflective and personal, showing attachment and struggle to cope with the sudden change. He appreciates emotional support and seeks connection.;
Ses02M_impro06;F;The female speaker is compassionate, supportive, and comforting. She listens attentively, offers condolences, and gently encourages the male speaker to share feelings. She tries to provide reassurance and emotional stability, showing empathy without overwhelming him, helping him through the grieving process.;
Ses02M_impro07;M;Confident and enthusiastic about recent college acceptance, somewhat nervous but excited, open about plans and future, humorous and easygoing, values friendship and support from F, curious and optimistic about new experiences.;
Ses02M_impro07;F;Supportive and encouraging, warm and empathetic listener, expresses excitement and pride for M, informal and friendly tone, shows interest in M's future and campus life, offers guidance and reassurance, playful and affectionate in interaction.;
Ses02M_impro08;M;Patient and professional customer service representative, calm and reassuring, provides helpful advice and clear instructions, empathetic to F's concerns, attentive and willing to assist with problem resolution, communicates clearly and respectfully.;
Ses02M_impro08;F;Frustrated and anxious customer concerned about credit card fraud, cautious and skeptical initially, relieved when speaking to a real person, seeks clear solutions, appreciative of help, cooperative and engaged in resolving issue, expresses genuine worry but open to advice.;
Ses02M_script01_1;M;M is a pragmatic and emotionally burdened man, struggling with the family’s denial about Larry’s fate. He is decisive and wants to confront painful truths, showing frustration with avoidance and dishonesty around him. He values family, desires stability and love (expressed through his wish to marry Annie), but feels constrained by past loyalties. He is direct, occasionally blunt, but also reveals vulnerability beneath his tough exterior.;
Ses02M_script01_1;F;F is cautious, emotionally protective, and somewhat resistant to confronting harsh realities. She clings to hope and the possibility Larry might return, showing denial and a nurturing, maternal instinct to shield others from pain. She tries to maintain family cohesion and avoid conflict, but also reveals anxiety and fear of loss. She is somewhat traditional and conflicted about change, particularly around relationships linked to Larry.;
Ses02M_script01_2;M;M in this conversation is more reserved but observant, trying to mediate tension. He is pragmatic and questions emotional outbursts, attempting to calm F down. He is aware of complexities around Annie and Larry’s memory but maintains a steady, sometimes skeptical stance, trying to avoid escalating conflict.;
Ses02M_script01_2;F;F is emotionally intense, vulnerable, and deeply invested in preserving hope and faith regarding Larry. She is suspicious and defensive about Annie’s return, perceiving threats to the family's fragile equilibrium. Her emotional state is fragile and she seeks support, often appealing to others to maintain belief in Larry’s possible return.;
Ses02M_script01_3;M;Chris (M) is introspective and emotionally complex. He struggles with guilt and survivor's remorse from his wartime experiences, which makes him feel alienated from normal life and unworthy of happiness. He is deeply loyal and values honor and responsibility, showing a sincere, if somewhat awkward, way of expressing love and vulnerability. He desires a fresh start with Ann but is held back by his inner conflicts and shame.;
Ses02M_script01_3;F;Ann (F) is practical yet emotionally sensitive. She is cautious about staying in an uncomfortable social situation, perceptive about family dynamics, and protective of her own feelings. She is patient and forgiving but longs for clear, direct communication and emotional honesty. Ann values genuine connection and readiness for commitment, but also struggles with frustration over past ambiguities and lost time.;
Ses02M_script02_1;M;Augie (M) is enthusiastic, playful, and somewhat forgetful. He is excited by nature and special moments, often optimistic and childlike in his approach. He tries to create shared experiences but sometimes misses social cues or the partner’s discomfort. Despite occasional silliness, he is caring and eager to connect, valuing wonder and magic in everyday life.;
Ses02M_script02_1;F;The female speaker is pragmatic and grounded, showing skepticism toward Augie's enthusiasm. She values comfort and practicality over romantic notions, and is willing to express dissatisfaction or disinterest clearly. She is realistic, sometimes critical, and prefers avoiding unnecessary discomfort or emotional turmoil, highlighting a contrast to Augie's idealism.;
Ses02M_script02_2;M;Augie is pragmatic yet somewhat insensitive, trying to rationalize the situation with logic and humor. He seems frustrated but caring, attempting to connect with Carla by recalling shared memories. His tone fluctuates between defensive, playful, and vulnerable as he grapples with relationship tensions and unmet expectations.;
Ses02M_script02_2;F;Carla is emotionally complex, skeptical, and disillusioned with the ritual of waiting and unmet hopes. She desires deeper emotional fulfillment and authenticity rather than superficial experiences. Carla is vulnerable, nostalgic, and honest about her dissatisfaction but also loyal and willing to forgive. She yearns for meaningful connection and understanding.;
Ses02M_script03_1;M;This male speaker is anxious yet tries to remain composed and reassuring. He shows care and attempts to maintain poise under pressure. He is introspective about love and existence, revealing a philosophical and somewhat anxious nature beneath a facade of calm.;
Ses02M_script03_1;F;This female speaker is fearful and resigned, reflecting on the instability of happiness and love. She is aware of harsh realities and expresses a dark humor or cynicism about the situation. Her tone mixes anxiety with a longing for grace and dignity amid uncertainty.;
Ses02M_script03_2;M;The male speaker appears confrontational, jealous, and controlling. He is suspicious about the female speaker's fidelity, often sarcastic, and emotionally volatile. He uses insults and attempts to provoke reactions, indicating unresolved bitterness and insecurity.;
Ses02M_script03_2;F;The female speaker is defensive, sarcastic, and somewhat dismissive. She appears self-assured, unapologetic, and provocative, challenging the male speaker's accusations and trying to maintain emotional distance. She shows a rebellious and bold attitude.;
Ses03F_impro01;M;The male speaker acts as an authority figure, somewhat inflexible and bureaucratic. He is blunt, insistent on rules, and shows little empathy for the female speaker's situation, focusing on procedure rather than individual needs.;
Ses03F_impro01;F;The female speaker is stressed and anxious about her work obligations. She is trying to explain her predicament calmly but is frustrated by the male speaker's inflexibility. She shows vulnerability and persistence in the face of rigid rules.;
Ses03F_impro02;M;The male speaker is supportive and caring, showing interest in the female speaker's life and accomplishments. He appears gentle, attentive, and encouraging, sharing joyful moments and listening actively.;
Ses03F_impro02;F;The female speaker is responsible and ambitious, communicating important personal news with pride. She is straightforward and open, balancing professional duties with personal relationships. She values recognition and is hopeful about future challenges.;
Ses03F_impro03;F;The female speaker is expressive, emotional, and candid. She is excited and overwhelmed by the surprise engagement, showing a warm, joyful, and somewhat playful personality. She shares detailed storytelling with humor and affection, indicating openness and emotional responsiveness.;
Ses03F_impro03;M;The male speaker is supportive, lighthearted, and engaged in the conversation. He uses humor and gentle teasing, showing warmth and a friendly, encouraging demeanor. He plays the role of an attentive listener and cheerleader in the dialogue.;
Ses03F_impro04;F;The female speaker reveals vulnerability, self-doubt, and frustration with her career progress. She feels insecure about financial dependence and uncertain about her future, showing sensitivity and honesty. Despite anxiety, she expresses a deep passion for her chosen path and fear of quitting.;
Ses03F_impro04;M;The male speaker is encouraging, patient, and optimistic. He offers reassurance and practical advice, emphasizing perseverance and long-term perspective. He acts as a grounding, supportive presence, trying to boost her confidence and provide alternative viewpoints calmly.;
Ses03F_impro05;F;The female speaker is assertive, determined, and frustrated. She demands clear answers and accountability regarding her lost luggage, showing she values her possessions and work commitments. She is serious and direct, unwilling to accept vague or dismissive responses.;
Ses03F_impro05;M;The male speaker initially appears dismissive and somewhat sarcastic, lacking empathy toward the woman's distress. He offers bureaucratic responses with little sensitivity but eventually reveals a more formal, authoritative role when identifying himself as the supervisor.;
Ses03F_impro06;M;The male speaker is empathetic and supportive, listening attentively and offering comforting remarks. He shows respect and admiration for the deceased, acknowledging the pain of loss. His tone is gentle and encouraging, often asking questions to engage and allow the female speaker to express herself.;
Ses03F_impro06;F;The female speaker is deeply emotional and vulnerable, openly expressing grief and loneliness. She is reflective and nostalgic about her relationship with the deceased, revealing a strong emotional bond. Her speech shows sadness, love, and a struggle to cope with loss, portraying a caring and devoted character.;
Ses03F_impro07;M;The male speaker is casual, playful, and encouraging. He engages in light-hearted banter and shows excitement for the female speaker's success. His tone is friendly and supportive, teasing gently but always positive, reflecting enthusiasm for their shared future plans.;
Ses03F_impro07;F;The female speaker is upbeat, optimistic, and proud of her achievements. She expresses excitement and hope for the future with warmth and joy. Her personality comes across as determined yet playful, sharing personal moments openly and enjoying the light teasing from the male speaker.;
Ses03F_impro08;M;The male speaker is highly frustrated, impatient, and aggressive. He expresses anger and profanity early on, showing a short temper especially when he feels ignored or underserved. He emphasizes his importance and financial losses, seeking urgent solutions and compensation. His tone fluctuates between hostile and desperate, revealing stress and a sense of helplessness.;
Ses03F_impro08;F;The female speaker remains calm, polite, and professional throughout the call. She tries to de-escalate the situation by urging patience and explaining the technical problems. Despite the male speaker's rudeness, she maintains empathy and attempts to offer solutions within her limits. Her demeanor is patient, apologetic, and focused on customer service.;
