id,speaker,start_time,end_time,text,emotion
Ses02F_impro01_F018,F,154.0504,159.7574,"Well, why didn't the D.M.V. put that you needed your birth certificate on the application then?",ang
Ses02F_impro01_M018,M,158.9194,164.5611,"I--when you're going to the D.M.V., you usually need pretty professional identification--",fru
Ses02F_impro01_M019,M,164.5945,166.9199,"You know, Official documentation--",ang
Ses02F_impro01_F019,F,164.674,169.8898,"Yeah, but your birth certificate--I mean, who carries around their birth certificate?  Nobody does that.",ang
Ses02F_impro01_M020,M,167.9301,173.4579,"No, but you come--you come to the D.M.V., it's something-- You should've- You should've figured--",fru
Ses02F_impro01_F020,F,171.5438,175.7488,With your driver's license and your passport.  Just like everybody else.,ang
Ses02F_impro01_M021,M,175.6255,182.0081,"But, without your drive--where-where- what about your identification without your driver's license?  I mean, you need--you needed something before then?",fru
Ses02F_impro01_F021,F,180.6986,190.9121,"Who--you always use your driver's license.  I mean, you're not coming to the D.M.V. if you're not over sixteen and that's when you get your driver's license so you're never gonna need it anyway.",ang
Ses02F_impro01_M022,M,190.982,195.9117,"All right.  Well, um, you know, I'd love to help you, but--nothing I can do.",fru
Ses02F_impro01_M023,M,195.9319,204.2806,"So, if you wanna go get your birth certificate, um, maybe come back--I don't--maybe you can talk to the person in the--in the front of line maybe.  I don't know.",fru
Ses02F_impro01_F022,F,202.8414,205.0638,Do you have a supervisor?,fru
Ses02F_impro01_M024,M,204.7828,208.4711,I am the supervisor.  So--,fru
Ses02F_impro01_F023,F,209.2752,214.5392,"Well, thank you very much.  You've been very helpful.",fru
Ses02F_impro02_F000,F,8.9084,11.9078,It's almost time for me to go.,sad
Ses02F_impro02_M000,M,11.5255,18.7886,I can't believe that--now--are you sure this is absolutely necessary?  Like--,xxx
Ses02F_impro02_F001,F,18.3682,24.3889,"There's nothing I can do.  I mean, the government you know--",sad
Ses02F_impro02_M001,M,24.1978,31.0213,What--what're we gonna do here?  I can't--I can't do this by myself.  I--,fru
Ses02F_impro02_F002,F,30.6582,37.9405,"You're gonna have to.  I mean, you're a great father.  You can do it.  I know you can.",sad
Ses02F_impro02_M002,M,37.8258,47.7648,"But, I'm--I'm nothing--I'm nothing without you here.  Maybe we can--we can get out of this somehow.",fru
Ses02F_impro02_F003,F,46.8146,49.4112,I don't think so.,sad
Ses02F_impro02_M003,M,49.5424,63.7247,"Well, come on.  You've gotta think of something.  A year--a year away, it's gonna tear us apart.  I don't even--I don't even wanna think about it.  I mean, I don't even know if I'll be able to get in touch with you or--",fru
Ses02F_impro02_F004,F,63.2468,75.4222,"Well, we can do the best we can and-and, with um, you know like wireless internet these days--I think that we could-- Talk every once in awhile.",sad
Ses02F_impro02_F005,F,75.4413,78.5568,You could send me pictures.,sad
Ses02F_impro02_M004,M,75.6898,78.5377,It's not going to be the same.,xxx
Ses02F_impro02_M005,M,79.4743,88.2594,"What if--maybe--what if, uh, we went somewhere over there?  I don't--I don't know--I--I need to figure something out for this because--",fru
Ses02F_impro02_F006,F,88.0123,94.8416,"Their not gonna let you.  You have to stay home and I have to go.  I mean, that's all--",sad
Ses02F_impro02_F007,F,96.6544,108.6034,"and--I mean, my daughter--I don't want to put her in danger.  You know?  She has to stay.",sad
Ses02F_impro02_M006,M,108.3358,114.6815,This is gonna be a--a crucial yet--she's--she's growing up.  She's gonna need you.,fru
Ses02F_impro02_F008,F,114.93,126.1305,"I know, but, she needs to be safe more.  She needs to be around kids her age--own age.  She needs to be able to play on the streets and--",sad
Ses02F_impro02_M007,M,126.3408,139.8386,But she's--you're not gonna--you're not gonna be here for--for her first words.  For her first steps.  I mean--it's something that you're supposed to be here for that--,sad
Ses02F_impro02_F009,F,139.4718,143.5239,You can just remember it for me.,sad
Ses02F_impro02_M008,M,144.2502,150.5386,I don't know--I don't know--I don't know how--I don't know how this could even be possible for you--I--if I was--,fru
Ses02F_impro02_F010,F,148.5507,156.3682,"Well, I need--I need you to be able to do this for me 'cause I can't do anything about it.",sad
Ses02F_impro02_F011,F,158.5369,166.766,"I mean, it's just as hard for me, but--I know that we can do it, you know",sad
Ses02F_impro02_M009,M,167.216,177.6416,"I mean, you just get to--go off and do your thing.  I mean, yeah, we're both--I don't know--it's bad for both of us, but--",fru
Ses02F_impro02_M010,M,177.9283,185.5164,...it would be so much better if we can--if we could stay together somehow.  You know--we could--we could do this together.,fru
Ses02F_impro02_F012,F,184.8857,191.174,I don't want you in danger.  And I don't want her in danger.,sad
Ses02F_impro02_M011,M,190.0061,194.4042,I don't want you in danger.  Where are you going?  You're going over to war.,xxx
Ses02F_impro02_F013,F,193.9264,207.04,I have no choice. There's nothing I can do.,sad
Ses02F_impro02_M012,M,208.8905,210.8151,All right.,sad
Ses02F_impro03_F000,F,4.7324,8.78,"Oh my God.  Guess what, guess what, guess what, guess what, guess what, guess what?",exc
Ses02F_impro03_M000,M,6.2177,8.7208,What?,xxx
Ses02F_impro03_F001,F,8.81,10.93,"Well, guess.  Guess, guess, guess, guess.",exc
Ses02F_impro03_M001,M,10.86,14.2922,"Um, you--",neu
Ses02F_impro03_F002,F,14.08,16.13,Don't look at my left hand.,xxx
Ses02F_impro03_M002,M,16.74,20.1143,No.  Let me see.,sur
Ses02F_impro03_M003,M,20.6584,23.29,"Oh, no way.",xxx
Ses02F_impro03_F003,F,22.66,28.0319,"He proposed.  He proposed.  Well, and I said yes, of course. [LAUGHTER]",xxx
Ses02F_impro03_M004,M,25.72,31.42,That is great.  You look radiant.  I should've guess.,hap
Ses02F_impro03_F004,F,30.65,32.65,I'm so excited.,exc
Ses02F_impro03_M005,M,31.91,34.5281,"Well, Tell me about him.  What happened.",exc
Ses02F_impro03_F005,F,34.5699,38.8951,"Remember how we had that date?  And I was like, oh yeah, this is a date, whatever.",xxx
Ses02F_impro03_F006,F,39.0078,52.92,"So after we sort of went out dinner and I was already like tired.  I wasn't all that excited and and so he's like let's go down to the beach and I was like no I don't want to the beach, like I'm tired. And he's like no, no we have to go.  And I was like okay, like that's a little weird.",xxx
Ses02F_impro03_F007,F,52.93,61.8184,"So, he--so we walked down to the pier and there's like these lights--like these little, like lights-- and we're like what's that? And he's like I don't know let's go find out.",xxx
Ses02F_impro03_F008,F,61.83,69.86,So we walked down there and there's-[LAUGHTER]-And there's- this huge like ten foot heart in candles on the beach--,xxx
Ses02F_impro03_M006,M,69.65,71.33,What?,sur
Ses02F_impro03_F009,F,69.91,81.9971,"like all they have And I was like, what's going on?  And he like takes my hand and pulls me into the middle and he's like--you know, get's on his knee and everything--And says will you marry me? And I flipped out.",exc
Ses02F_impro03_M007,M,81.7153,85.53,That--that is the most romantic thing I have ever heard.,sur
Ses02F_impro03_F010,F,83.93,91.61,"I know.  I was like, how did he get--like he must have called someone or had them set--like, I have no idea.",xxx
Ses02F_impro03_M008,M,90.55,97.0405,"Wow.  Yeah, 'cause yeah I don't know I'm sure if he--oh yeah he definitely had--would have had to have someone else--",xxx
Ses02F_impro03_F011,F,95.45,99.6572,'Cause- 'Cause he was with me. You didn't do it did you?,exc
Ses02F_impro03_M009,M,97.27,102.0738,"Yeah.  I mean candles wouldn't stay--No, I didn't--I didn't know anything about it.",hap
Ses02F_impro03_F012,F,101.5291,102.95,You didn't know anything?,exc
Ses02F_impro03_M010,M,102.8845,106.06,No. I'm just as happy as you are.  This is--,hap
Ses02F_impro03_F013,F,105.135,111.47,"I was just--it was so like I thought this might happen eventually, but like not yet, you know what I mean?  Like--",exc
Ses02F_impro03_M011,M,110.84,114.19,"So, I mean--it's good though.",hap
Ses02F_impro03_F014,F,112.7,117.27,"It is good.  It's totally good.  I mean, it like oh, you know.",exc
Ses02F_impro03_M012,M,116.73,121.8195,"Yeah, I know.  Wow.  I'm shaking.  I can't even--",exc
Ses02F_impro03_F015,F,121.0516,127.2609,I know. So we're gonna take it--Like we're not gonna get married right away--'Cause we want to like have plenty of time to plan everything out,hap
Ses02F_impro03_F016,F,127.3236,133.2123,"...and, um, my parents want to like be part of it and help out and everything--So we want to give it lots of time to like--",hap
Ses02F_impro03_M013,M,130.9859,137.0738,"Oh. Do they--do they know yet? Have you told them? Oh, that's--",neu
Ses02F_impro03_F017,F,133.6443,140.07,"Yeah, yeah, I called them. I called them And, of course, they were so excited 'cause they love him. Like they always have.  Um--",hap
Ses02F_impro03_M014,M,139.87,141.31,That's great.  Yeah.,neu
Ses02F_impro03_F018,F,141.21,148.237,"So, yeah, I mean, it'll be good.  We wanna like, uh, I think we're gonna have it in spring time, like early Spring--So it's no too hot yet.  And um--",hap
Ses02F_impro03_M015,M,145.5923,149.6643,Okay. You know--you know where?  Or--,neu
Ses02F_impro03_F019,F,149.08,156.2108,"I don't know.  I mean, I kinda like the idea of having something outside, but--Like--is a- Yeah,",hap
Ses02F_impro03_M016,M,153.6844,156.4834,"Uh, huh. I mean, you know, it's spring--It'll be--",neu
Ses02F_impro03_F020,F,156.23,164.7969,"But It's sort of hard 'cause the weather is so unpredictable and then if it's like cold that day.  Or if it's too hot, you know, it's like--but um--",xxx
Ses02F_impro03_M017,M,164.59,166.04,Spring's nice though.,neu
Ses02F_impro03_F021,F,165.4402,176.5255,"Yeah, I don't know-[LAUGHTER]-I mean--I can't even--the whole idea of like living--spending my whole life with somebody--that's crazy",exc
Ses02F_impro03_M018,M,175.73,179.59,"Yeah, that is--how long you guys been together now?",neu
Ses02F_impro03_F022,F,178.79,180.87,Two and a half years. [LAUGHTER],xxx
Ses02F_impro03_M019,M,179.88,188.4736,Okay.  All right.  So-[LAUGHTER]-quite a while.  I mean--That's-  That's good.  I'm so happy for you. [LAUGHTER],hap
Ses02F_impro03_F023,F,187.29,190.02,Thank you. Thank you so much.,hap
Ses02F_impro03_M020,M,189.38,195.65,"Yeah, I'd love to be in that same situation some day, but, wow- so-",hap
Ses02F_impro03_F024,F,195.46,201.9,"Oh, you will--You'll find just the right girl.  And she'll be perfect for you and everything will be great.",exc
Ses02F_impro03_M021,M,201.04,207.0585,You guys are awesome together.  It's definitely a--definitely a good couple.  I can see it. I should've guessed--,xxx
Ses02F_impro03_F025,F,205.46,207.6783,You approve?  You approve?,xxx
Ses02F_impro03_M022,M,207.5653,211.0588,"Oh, I approve. I-[LAUGHTER]-I more than approve.",hap
Ses02F_impro03_M023,M,211.0776,220.74,"I mean, I'm surprised he didn't, ya know--go get a plane to fly over and shine--But candles on the beach, that's okay too I guess--",hap
Ses02F_impro03_F026,F,220.38,222.24,"Yeah, it's pretty good.",hap
Ses02F_impro03_M024,M,221.52,225.77,"Well--can--I mean, let me know--I want- I want invitations and--",exc
Ses02F_impro03_F027,F,225.0487,228.4874,"Of course, of course--you'll be able to be a part of it.  You can come help me pick my colors.",hap
Ses02F_impro03_M025,M,228.14,233.2,"Oh, yes.  This is the whole [GARBAGE]",exc
Ses02F_impro03_F028,F,231.8858,240.3492,"It's so girly.  I don't even know how to like--It's so weird, but it'll be fun.  My mom will love to be like--she'll get so into it, I'm sure.",exc
Ses02F_impro03_F029,F,240.4223,244.0151,She'll be like--flowers and the--,hap
Ses02F_impro03_M026,M,244.0986,246.85,"It'll be good.  Wow, that's great.",hap
Ses02F_impro03_F030,F,246.65,250.5635,"Oh, thank you. [LAUGHTER]",hap
Ses02F_impro04_M000,M,5.1392,9.5052,"So, uh, so how's it been going?  I mean, you have any needs or anything?",neu
Ses02F_impro04_F000,F,9.6322,19.042,I'm--every lead that I get ends up just being a dead end.  You know what I mean.  People are sick of me calling--,fru
Ses02F_impro04_M001,M,19.1897,25.48,"No.  You can't think that way.  I mean it's good--it's good that you're--that you're calling, you know. you can't",neu
Ses02F_impro04_F001,F,24.67,28.9797,"Yeah, but it--I mean it's the same response you get over and over again.  Like--",fru
Ses02F_impro04_F002,F,29.0536,34.96,"Oh, we're not hiring at this time or thank you, we already have your information on file--We'll call you when we're ready.",fru
Ses02F_impro04_M002,M,34.85,39.72,"Yeah--I know what you mean.  I've gone through like similar stuff, but--",xxx
Ses02F_impro04_F003,F,39.17,46.3474,"But, it's been so long, like--I mine as well just take a job at McDonald's.  Like, I don't--",fru
Ses02F_impro04_M003,M,45.8486,49.25,"No, come on.  Don't [GARBAGE]",neu
Ses02F_impro04_F004,F,48.7571,54.098,"I just--I can't do it anymore.  Like, it just takes it out of you--",fru
Ses02F_impro04_M004,M,52.9062,65.8663,"I know.  I know. It's hard, but you just--you gotta keep going.  I mean, you've been going at it for so long, you know.  Something is definitely going to come up.  I-I know it will, because you're a good worker--",neu
Ses02F_impro04_F005,F,63.83,74.64,I just keep getting rejected.  I just keep getting rejected over and over and over again and it starts to make you feel like there must be something wrong with you that you can't get a job.,fru
Ses02F_impro04_M005,M,74.54,82.15,"No.  It's--I mean, it's competitive, you know.  That's-That's what it is.  that's what you gotta be is competitive.",neu
Ses02F_impro04_F006,F,80.37,91.5702,"Yeah, but maybe--if just because it's competitive, like maybe I'm just not good enough.  Maybe the level is here and I'm here and there's just no way I'm ever gonna do that--",fru
Ses02F_impro04_M006,M,89.4093,97.07,"There...There are plenty of people out there with--with like, good jobs, you know, that are a lot...",neu
Ses02F_impro04_M007,M,97.17,104.0,...dumber than you.  I mean they're a lot worse off than you.  You are much better off than like a lot of those people in there. I know,neu
Ses02F_impro04_F007,F,102.47,111.8,"I didn't have like one of those starts, you know, like a family member who was already in the business or something you know that could like give me a helping hand.",fru
Ses02F_impro04_M008,M,111.55,116.4043,"I know.  It makes it harder.  I mean it's definitely who you know in a lot of cases, but--",neu
Ses02F_impro04_F008,F,117.2799,129.1165,"It's just so frustrating.  Like, I just--I just don't wanna do it anymore.  You know?  I just don't wanna like hit the pavement every single day with my resumes and going out there all the time.  You know, it's just like--",fru
Ses02F_impro04_M009,M,129.3592,135.09,"But you gotta.  Otherwise, what is--what's your other option?",neu
Ses02F_impro04_F009,F,132.9672,135.27,I feel so worthless.,sad
Ses02F_impro04_M010,M,135.85,145.057,"It's not worthless 'cause it's definitely gonna--it's definitely gonna pay off.  I know it.  I mean, I can--I've just--I've seen your work etiquette.  You know, you're a good worker and...",neu
Ses02F_impro04_M011,M,145.067,151.05,... and there's no reason that--that something won't come up like really soon.  All right?  So you just gotta--,neu
Ses02F_impro04_F010,F,150.38,156.5983,And what would make you say that?  There doesn't seem to be any indicators that anything's going to get better.,fru
Ses02F_impro04_M012,M,156.7354,174.3532,"Because I know you.  You know, and maybe once you get to know some more people, like talking to them and everything, they'll get to know you too and they'll realize they should've hired you three years ago.  You know? but  And- and they'll finally come around and believe me--it'll--you gotta-",neu
Ses02F_impro04_F011,F,173.36,192.93,"It's just really hard.  I feel like their starting to get like a personal prejudice against me.  You know what I mean?  Like it's like suddenly it starts to feel like it's just you that they say no to and it's not that they're not taking applications and it's not that they're not hiring people, it's just you particularly they have some particular reason for just hating you.  You know?",fru
Ses02F_impro04_M013,M,192.84,205.99,"Well maybe yeah, but maybe you get to that point where it's like you bug 'em and then they just don't wanna hear from you anymore, but you keep bugging them and bugging them and then it's gonna annoy them so much that they're gonna be like all right fine. you know",neu
Ses02F_impro04_F012,F,204.97,207.21,Or they'll never talk to me again.,fru
Ses02F_impro04_M014,M,207.1941,212.1841,"Or, well, no.  Okay. you -[GARBAGE]",fru
Ses02F_impro04_F013,F,212.279,229.8,"I-I just I think maybe I should try something else.  I mean, I-I don't know.  All growing up this is the only thing that I ever wanted to do and yet I can't.  I'm not physically able apparently.  I mean--",fru
Ses02F_impro04_M015,M,229.5,242.27,"That obviously that's not true though.  I mean, you've done this before.  You've done all the work like this before, you know, and and you've gotten people saying oh, you're so good and like you know--",neu
Ses02F_impro04_F014,F,242.01,248.83,"I guess the money shouldn't matter to me, but--Somehow it does.  You know? It's not like I do it for the money, but",fru
Ses02F_impro04_M016,M,244.79,245.9,Right.,neu
Ses02F_impro04_M017,M,245.97,248.0,"Well, you've gotta live.",neu
Ses02F_impro04_F015,F,248.86,256.9182,"you have to--I mean, if you're hired by somebody, then you're not a professional, you're an amateur and that means that you're not good enough.",fru
Ses02F_impro04_M018,M,257.1676,266.49,"I mean, it's just, it's really--I don't know, yeah, it's about their opinions and it's about, I don't know, just getting yourself out there and--",neu
Ses02F_impro04_F016,F,266.3,274.17,"I just wanna crawl in a hole, you know.  Like it just makes you not wanna even open your eyes in the morning.",sad
Ses02F_impro04_M019,M,271.69,277.0401,"Well, come on, come on.  Thinking about it like this is definitely not gonna help either though.",neu
Ses02F_impro04_F017,F,276.09,286.51,I don't know how to get out of it.  I don't know how to dig myself out of it.  It's the same hole that I've been digging and digging and digging.  I can't--,xxx
Ses02F_impro04_M020,M,287.19,288.55,I don't know.,xxx
Ses02F_impro05_F000,F,4.1392,7.7911,"Hi, um, excuse me, I believe that the airline lost my baggage.",neu
Ses02F_impro05_M000,M,8.3,12.93,"Um, okay, it didn't--didn't come out on the carrousel--",neu
Ses02F_impro05_F001,F,11.43,18.72,"No, it didn't. um It didn't come out and I don't see it anywhere around here, so what can you do about that?",neu
Ses02F_impro05_M001,M,18.77,27.35,"Okay.  Um, well, unfortunately yeah there was a some- some problems with the--",neu
Ses02F_impro05_F002,F,26.75,29.37,Some problems?  What is that supposed to mean?,sur
Ses02F_impro05_M002,M,29.42,35.95,"Uh, well some-some of the bags were--were lost on the way over here. uh-",neu
Ses02F_impro05_F003,F,35.2,39.8027,How do you lose a suitcase?  A huge suitcase?,sur
Ses02F_impro05_M003,M,39.82,47.17,"You know, I mean, there's a lot of things that go on under the plane and sometimes, you know, that kind of things happen.",neu
Ses02F_impro05_M004,M,47.18,54.43,"Uh, But, we are willing to reimburse you for the bag and and for the contents--",neu
Ses02F_impro05_F004,F,52.65,54.11,How much?,neu
Ses02F_impro05_M005,M,54.52,58.9138,"Um, we'd be willing to give you uh fifty dollars for--",neu
Ses02F_impro05_F005,F,59.06,74.78,"Fifty dollars?  For my suitcase?  I mean, the suitcase itself was like a hundred and fifty dollar just for the suitcase, but all the things inside, all my clothes, all my personal belongings, the sentimental value, not to mention, which is more-more than all of that together.",sur
Ses02F_impro05_M006,M,74.43,84.45,"Right.  Uh We realize, you know, that that it's a bad situation, but I'm sorry, there's nothing that we can really do.",neu
Ses02F_impro05_F006,F,82.29,90.68,"That's all, that's all, that's all you're going to do is just give me fifty dollars and say go have fun on your vacation without any of your stuff?",ang
Ses02F_impro05_M007,M,90.77,97.63,"I think, um, maybe you can file a claim if you want and turn it in to our main office--",neu
Ses02F_impro05_F007,F,95.42,101.5979,"Yes, yes, I would like to file a claim, but what are you gonna--I mean, is it just gonna show up magically out of nowhere?",fru
Ses02F_impro05_M008,M,101.6919,109.68,"Right.  No.  I mean they- they might--they might--if you-if you are argue the case more, maybe they'll reimburse you more, but, right now--",neu
Ses02F_impro05_F008,F,109.53,115.69,"I need my stuff.  It's--I need my stuff.  I mean, uh...",xxx
Ses02F_impro05_F009,F,115.72,120.15,Haven't you ever lost baggage?  I mean isn't there anything else you do?,xxx
Ses02F_impro05_M009,M,118.1619,122.1723,"Yes, I know. I know-. It's It's frustrating.  Unfortunately though-- um",neu
Ses02F_impro05_F010,F,121.61,124.57,"Because you don't seem to care very much, you know.",ang
Ses02F_impro05_M010,M,124.06,131.2021,"By checking your bags, you--you, you know- admit to the liability that's- that's at risk--",neu
Ses02F_impro05_F011,F,130.42,132.35,I didn't sign anything.,fru
Ses02F_impro05_M011,M,132.543,140.2,"Right, well, by checking in your bags, you agreed to, you know, at the will of the--",neu
Ses02F_impro05_F012,F,138.64,148.6,"I didn't agree.  [GARBAGE] I paid the airline to take care of things for me.  When you pay for something, there should be some sort of guarantee that it's gonna come through.",xxx
Ses02F_impro05_M012,M,147.74,164.39,"You paid for the flight and then your bags were checked at--it's a service that the airline provides for us.  So so, really, it's really the risk was taken and, I'm sorry, but there's really nothing else we can do.  So do you want--do you want the reimbursement?",neu
Ses02F_impro05_F013,F,163.63,176.7571,"[BREATHING] Well, sure, yeah, I guess I'll go buy dinner and then be--have nothing for the rest of my entire vacation.  I'm supposed to be here for three weeks.  What am I gonna do without anything for three weeks?",fru
Ses02F_impro05_M013,M,176.48,180.5,"Well, there are-there are some shops here in- in the airport--",neu
Ses02F_impro05_F014,F,179.54,182.65,But fifty dollars isn't going to get me anything.,fru
Ses02F_impro05_M014,M,182.6,189.65,"No, um, like I said you can file a claim and, uh, maybe get reimbursed for more-- you",neu
Ses02F_impro05_F015,F,189.56,192.51,Isn't there anything else you can do?,fru
Ses02F_impro05_M015,M,189.66,191.54,probably even talk to--,neu
Ses02F_impro05_F016,F,194.0678,206.9469,"I mean, is there somebody you can call?  Or the guy that put the stuff on the--on the plane.  I mean, are they--they must be really irresponsible to have just disappeared my baggage.  I mean, did it get stolen?",fru
Ses02F_impro05_M016,M,205.22,217.07,"Right, that--that gets taken care of-- That gets taken care of.  We get we do, you know, we investigate those and just make sure that um- they're not doing their own thing with them so--uh",neu
Ses02F_impro05_F017,F,217.09,224.4595,"Yeah, I'm sure you -- You're like, hmm, do you take baggage?  No.  Oh, okay, thanks.  Great.  I mean how--",fru
Ses02F_impro05_M017,M,217.08,220.45,but Unfortunately sometimes is--,neu
Ses02F_impro05_M018,M,224.51,226.28,"Well, that's--that's what I'm saying--",neu
Ses02F_impro05_F018,F,225.49,227.94,There needs to be better security here.,fru
Ses02F_impro05_M019,M,227.81,242.31,"Okay.  Well that that could be something that you put on on the claim--on on the complaint form if you want.  And provide us with your information while you're here and then, maybe, if it turns up, then we'll send it right over.",neu
Ses02F_impro05_F019,F,241.32,247.38,It sounds like it's such a little like oh well no big deal whatever.  It's a big deal to me.,ang
Ses02F_impro05_M020,M,248.0522,265.9529,"All right, Miss, I-I know.  I realize this. But Like I said, there are several people that are in your same situation, so, um, it's not--it's not totally uncommon and I'm actually gonna have to ask you to move so I can help the next person.",neu
Ses02F_impro05_F020,F,265.71,268.34,"Well, can I at least have my fifty dollars, please?",fru
Ses02F_impro05_M021,M,268.5221,274.21,"Yes, all right.  There you go, now you can file a claim over to the left--And they'll help you out.",neu
Ses02F_impro05_F021,F,270.81,271.98,Thank you.,xxx
Ses02F_impro05_F022,F,274.01,276.5639,Thank you very much.,fru
Ses02F_impro06_M000,M,5.7967,8.0783,"Hey, a what's up?",neu
Ses02F_impro06_F000,F,10.31,15.4,"Um, Johnny died yesterday.",sad
Ses02F_impro06_M001,M,15.7633,20.64,"Wow, that's horrible.",neu
Ses02F_impro06_M002,M,20.77,23.33,I'm sorry to hear about that.,neu
Ses02F_impro06_F001,F,21.15,23.86,"We knew that it was coming, but--",sad
Ses02F_impro06_M003,M,24.56,25.89,Yeah.,neu
Ses02F_impro06_F002,F,25.52,32.26,"It seemed like he had a little bit longer.  Like just last week, he was doing was so well.",sad
Ses02F_impro06_M004,M,33.11,40.3,"I mean, you know, at least he's not in anymore pain now, right?",neu
Ses02F_impro06_F003,F,41.73,43.37,Yeah.,sad
Ses02F_impro06_M005,M,43.34,50.1,"It's good, you know.  you know It hurts I know.  I know what it's like to lose someone like that.",neu
Ses02F_impro06_F004,F,52.1888,54.6,I just don't want him to be gone.,sad
Ses02F_impro06_M006,M,55.58,57.9644,It's okay.,neu
Ses02F_impro06_M007,M,59.12,68.5,"'Cause, you know, you've got all the times that you guys did spend together, you know and that's something good that you can look back on.",neu
Ses02F_impro06_M008,M,70.82,76.17,I mean--I don't know.,neu
Ses02F_impro06_F005,F,75.8818,78.68,And his whole family was there.,sad
Ses02F_impro06_F006,F,82.16,88.2252,"I mean, he was like really conscious right up until the end. you know",sad
Ses02F_impro06_M009,M,88.4296,99.1347,"Well, that's that's good, you know.  At least, I don't know.  I mean it's- it's better to go- to goout that way than...",neu
Ses02F_impro06_M010,M,100.7536,107.0617,".than you know, in pain and like this gradual, this horrible process.  I mean--",neu
Ses02F_impro06_F007,F,107.03,113.82,"He was so young, you know.  And all the stories he used to tell me about...",sad
